Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Marche à pied"" (ms)"
00:00:00.000+02:00,00:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,16.24479055339645,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,16.244790563453684,,,,,,,23,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,16.244790573749086,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,16.244790573749086,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,16.244790573749086,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.244790654123634,,,,,,,27,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.244791055442224,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.244791055442224,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,16.244791055442224,,,,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,16.244791055442224,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,2,24.942024925067876,5.180009841918945,2.0,2,0.3097759485244751,0.3097759485244751,0.3097759485244751,14,,,,145614,
13:45:00.000+02:00,14:00:00.000+02:00,15,69.99999647980448,,15.0,15,,,,,,,,900000,
14:00:00.000+02:00,14:15:00.000+02:00,15,68.89329986628417,199.9995985031128,10.0,10,0.7180783235658894,1.2849315404891968,0.2523743212223053,302,,,,615421,284579
14:15:00.000+02:00,14:30:00.000+02:00,5,32.51781685060162,297.2637121869328,2.0,2,0.8152529804059327,1.2403067350387573,0.3237506151199341,465,,,,,291427
14:30:00.000+02:00,14:45:00.000+02:00,8,46.25065128996776,11.473845224261044,8.0,8,,,,18,,,,502375,
14:45:00.000+02:00,15:00:00.000+02:00,3,35.32362548924173,20.43216896057129,3.0,3,0.7405185848474503,1.1549928188323975,0.32604435086250305,30,,,,217778,108730
15:00:00.000+02:00,15:15:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.244791327893626,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,8,53.2543522767574,9.065017700195312,8.0,8,0.2860984206199646,0.30224624276161194,0.26995059847831726,32,,,,537833,87499
19:30:00.000+02:00,19:45:00.000+02:00,,16.24479194466944,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.24479194466944,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.24479194466944,,,,,,,,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.24479194466944,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,7,16.2447919155279,280.9581022262573,,,0.6466100760259217,0.9523313641548157,0.3237505853176117,433,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,16.244791523369,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,16.244791523369,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.244791523369,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.244791523369,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.244791523369,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.244791523369,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.24479121448595,20.072538375854492,,,0.3237506151199341,0.3237506151199341,0.3237506151199341,31,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.244790807389723,,,,,,,,,,,,
