Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Marche à pied"" (ms)"
00:00:00.000+02:00,00:15:00.000+02:00,,16.17968565567642,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.17968565567642,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.17968565567642,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.17968559760465,,,,,,,,,,,12,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.17968552118763,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.17968552118763,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.17968552118763,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.17968552118763,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.17968552118763,,,,,,,,,,,5,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.179685566060517,,,,,,,,,,,10,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.179685568087212,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.179685568087212,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.179685568087212,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.179685568087212,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.179685568087212,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.179685568087212,,,,,,,,,,,2,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.17968489581609,,,,,,,,,,,34,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.179686183666192,,,,,,,,,,,13,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,16.17968673636935,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,16.17968673636935,,,,,,,,,,,9,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,16.179686441200786,,,,,,,,,,,12,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,16.179686252577614,,,,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,16.17968688210671,,,,,,,,,,,15,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,1,16.179687063138715,19.01821774552553,,,,,,,,,,30,,,,
14:30:00.000+02:00,14:45:00.000+02:00,10,16.179687063138715,577.3778396217992,5.0,5,,,,,1.0124608260287897,1.2577481269836426,0.3212686777114868,872,,,,
14:45:00.000+02:00,15:00:00.000+02:00,,16.179687063138715,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,7,43.0607400617435,403.9817348797385,2.0,2,,,,,1.0410448474413094,1.2626938819885254,0.7253572344779968,594,,,,480779
15:15:00.000+02:00,15:30:00.000+02:00,,16.90139203547814,14.48312889742215,,,,,,,0.4828469753265381,0.5675567984580994,0.3981371521949768,55,,,,12908
15:30:00.000+02:00,15:45:00.000+02:00,,16.17968698461813,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,5,30.660556679022754,286.68951397123504,1.0,1,,,,,1.0009259902897665,1.4154887199401855,0.28914183378219604,452,,,,258997
16:00:00.000+02:00,16:15:00.000+02:00,5,20.74988758281355,256.91263599214386,,,,,,,0.514455015798066,0.9596172571182251,0.2677238881587982,409,,,,81740
16:15:00.000+02:00,16:30:00.000+02:00,13,55.244960054578605,891.1094438995299,8.0,8,,,,,1.1950254180852893,1.4786980152130127,0.297782301902771,1246,,,,698699
16:30:00.000+02:00,16:45:00.000+02:00,,16.179686311874324,3.883851770025734,,,,,,,,,,46,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,16.179687443351714,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.179687443351714,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.179687443351714,,,,,,,,,,,17,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.179686881258615,14.778360366821289,,,,,,,0.48169317841529846,0.48169317841529846,0.48169317841529846,27,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.179687207582514,,,,,,,,,,,24,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,16.17968809813223,,,,,,,,,,,,,,,
