Heure de début,Heure de fin,Nombre de minutes actives,Calories (kcal),Distance (m),Points cardio,Minutes cardio,Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Vélo"" (ms)","Durée de l'activité ""Marche à pied"" (ms)"
00:00:00.000+02:00,00:15:00.000+02:00,,16.17968662875874,,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.17968662875874,24.41642189025879,,,,,,,0.39265647530555725,0.5068801045417786,0.27843284606933594,38,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.17968673448206,,,,,,,,,,,15,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.17968766599462,,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.17968766599462,,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.179687474639792,,,,,,,,,,,7,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.17968667259218,,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.17968667259218,,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.17968667259218,,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.17968667259218,,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.17968667259218,,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.179686337663654,,,,,,,,,,,9,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,16.1796861166517,,,,,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,16.179687219200108,,,,,,,,,,,21,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,16.17968836667838,,,,,,,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,16.17968836667838,,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,16.17968836667838,,,,,,,,,,,12,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,12,51.56487517376336,689.286875408087,5.0,5,,,,,1.0468143807157952,1.6210377216339111,0.2872605323791504,1008,,,,,632879
09:45:00.000+02:00,10:00:00.000+02:00,13,48.73773200899319,709.0473723672361,5.0,5,,,,,0.925458311271671,1.596461534500122,0.27843284606933594,999,,,,,582314
10:00:00.000+02:00,10:15:00.000+02:00,7,43.35500279112769,516.9400430247715,6.0,6,,,,,1.2837897012862245,1.43318772315979,0.5841356515884399,716,,,,,486042
10:15:00.000+02:00,10:30:00.000+02:00,,16.17968614697286,,,,,,,,,,,20,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,12,59.443795744755434,,12.0,12,,,,,,,,7,,,,723476,
10:45:00.000+02:00,11:00:00.000+02:00,,18.40856535252416,8.995523929595947,,,,,,,0.3456791043281555,0.3456791043281555,0.3456791043281555,14,,,,37272,
11:00:00.000+02:00,11:15:00.000+02:00,,16.17968718399074,,,,,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,16.17968718399074,,,,,,,,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,16.17968718399074,,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,16.17968718399074,,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,7,16.17968718399074,240.62367630004883,,,,,,,0.536750024534192,1.01987886428833,0.3212687075138092,388,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.17968650967357,,,,,,,,,,,45,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.17968589418639,,,,,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.17968589418639,,,,,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,16.17968589418639,,,,,,,,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,13,51.403942716188595,105.04749488830566,9.0,9,,,,,0.8449069569071694,1.3676047325134277,0.3212687075138092,157,,,,589031,
13:30:00.000+02:00,13:45:00.000+02:00,14,69.953243898686,12.214687808484802,14.0,14,,,,,,,,18,,,,887978,12022
13:45:00.000+02:00,14:00:00.000+02:00,13,51.71727439486485,184.89041663792634,6.0,6,,,,,0.6295846535522127,1.2686586380004883,0.3212686777114868,307,,,,387118,221561
14:00:00.000+02:00,14:15:00.000+02:00,6,39.91653572172028,35.339556992053986,6.0,6,,,,,0.3124614357948303,0.3212687075138092,0.30365416407585144,76,,,,396935,
14:15:00.000+02:00,14:30:00.000+02:00,,16.179686967197117,37.90970706939697,,,,,,,0.2868884205818176,0.3212687075138092,0.25250813364982605,75,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,5,22.19788437103538,200.47167301177979,,,,,,,0.43680295280705844,0.7961602807044983,0.28914183378219604,325,,,,,107638
14:45:00.000+02:00,15:00:00.000+02:00,6,22.124094514947515,240.656289887931,1.0,1,,,,,0.8327554613351823,1.3442422151565552,0.3212687075138092,350,,,,,106319
15:00:00.000+02:00,15:15:00.000+02:00,8,45.671130824578505,579.5078057522514,6.0,6,,,,,1.2720621263158758,1.460129737854004,0.7925597429275513,815,,,,,527467
15:15:00.000+02:00,15:30:00.000+02:00,,16.17968591455528,,,,,,,,,,,,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,,16.17968591455528,,,,,,,,,,,,,,,,
15:45:00.000+02:00,16:00:00.000+02:00,,16.17968591455528,,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,6,38.836686507042145,404.8611297944107,4.0,4,,,,,1.2235354272263639,1.81349778175354,0.2630351185798645,569,,,,,405230
16:15:00.000+02:00,16:30:00.000+02:00,8,39.94885116149304,653.7620520255051,6.0,6,,,,,1.248638428453891,1.6150208711624146,0.3212686777114868,889,,,,,425121
16:30:00.000+02:00,16:45:00.000+02:00,6,16.179686602774105,225.36044311523438,1.0,1,,,,,0.746983751502356,1.3698065280914307,0.3212687075138092,332,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,10,44.45465206717992,603.0194335178855,4.0,4,,,,,1.099909011037221,1.598806619644165,0.3212686777114868,854,,,,,505710
17:00:00.000+02:00,17:15:00.000+02:00,5,30.663884532511243,137.2648701472756,,,,,,,0.675490990281105,1.0297132730484009,0.3212687075138092,210,,,,,259056
17:15:00.000+02:00,17:30:00.000+02:00,,16.179686145824302,,,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.179686145824302,,,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.179686145824302,,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,19.815384312324557,,,,,,,,,,,,,,,,65026
18:15:00.000+02:00,18:30:00.000+02:00,,16.179686151053854,,,,,,,,,,,16,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.179685593293815,,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.179685593293815,,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,,16.179685593293815,,,,,,,,,,,,,,,,
19:15:00.000+02:00,19:30:00.000+02:00,,16.179685593293815,,,,,,,,,,,,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,19.52984418952306,23.491565704345703,,,,,,,0.2570149600505829,0.2570149600505829,0.2570149600505829,35,,,,,59919
19:45:00.000+02:00,20:00:00.000+02:00,,16.179685504193806,,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,16.179686497748378,10.280598640441895,,,,,,,0.4213949739933014,0.4213949739933014,0.4213949739933014,37,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,16.17968816432209,,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,16.17968816432209,,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,16.17968816432209,,,,,,,,,,,57,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,16.179687668912933,23.773883819580078,,,,,,,0.3212686777114868,0.3212686777114868,0.3212686777114868,78,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.179686468304425,,,,,,,,,,,29,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.179686468304425,,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,16.179686485721078,19.918659210205078,,,,,,,0.3212687075138092,0.3212687075138092,0.3212687075138092,31,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,16.17968649576182,,,,,,,,,,,,,,,,
